"id_immi";"jahr";"strname";"von_krz";"bis_krz";"no2_i1";"pm10_ist";"aend";"kattime";"laenge";"sta_id";"eskn_id";"shape"
12344;2013;"Lotzebachstraße ";"Lochmühlenweg ";"Schützenstraße";12.7;18.5;2015-11-16 11:17:24;13620;447.55368;"14530140";13620;"SRID=4326;LINESTRING(13.60927115223588401705 51.07472489472599619376,13.6095693482594999324 51.0746292754799640079,13.60977822970496298183 51.07452534398056798182,13.60985892792789364591 51.07445396997875519673,13.61004135545368143312 51.07421439402371987626,13.61018405910228779021 51.07398957318869747724,13.61022338395564545976 51.07388725147674080063,13.61023649267915658356 51.07375225783894734377,13.61024207740648783727 51.07366666648439945675,13.61022703828153801453 51.07354252177541553692,13.61006688984901025208 51.07321511703196392773,13.61001421403077848993 51.07308243465904240566,13.60997904095971478 51.07289499645091979119,13.60997530352764250949 51.0727550443075344333,13.60999233628475479918 51.07265293326795330131,13.61004556594479986131 51.07256330053026971427,13.61015965811743910763 51.07246276003284179978,13.61052223648167647241 51.07231184284275826712,13.61063601003748146923 51.07224562145835022875,13.61070966596889064704 51.07215703159703679148,13.61078604500815814049 51.07204732894969367862,13.61093983402035334507 51.07183617059358482493,13.61099332652075055705 51.07173099085001410913,13.61106312127087747399 51.07139142388861330346,13.61111588905128222393 51.07131953184513406541,13.61117323808060142198 51.07128194024205214419,13.6112597890514059884 51.07125301315870302687)"
22501;2013;"Zschonergrund";"Zschonergrundweg ";"Podemuser Hauptstraße";15.9;18.9;2015-11-16 11:17:24;13629;751.56915;"14535020";13629;"SRID=4326;LINESTRING(13.6383238269285946842 51.05864530838001513757,13.6378747955676384862 51.05851001083871665287,13.63763420908034973422 51.05847579418732351542,13.63741915457468856232 51.05845218063007706633,13.637180979785512136 51.05845103122771888593,13.63602441066266912628 51.05850696420961298827,13.63551406863748027831 51.05852265293543723601,13.63529485696272125494 51.05852009336555852315,13.63513146485643545702 51.05850653043707154666,13.63475845704799205294 51.05843391719747614843,13.63452483158966543897 51.05838290468690843227,13.63428812667458345231 51.05834684695831526824,13.6325557691607830435 51.05814345775492313351,13.63204559586127118109 51.05808959983593098286,13.63175210452283003804 51.05802677472245676427,13.63083829011318393043 51.05779416264823566962,13.62979322182017050125 51.0576682437146303073,13.62941335881959403764 51.05765431987315139395,13.62875219898359446802 51.05767268869610830961,13.62842691861099453376 51.05768385389593788659,13.6282179374275731476 51.05769305595824647526,13.62809845786396500955 51.05771329949540415782,13.62799135115753479397 51.05776198897876128058,13.62792391956011073262 51.05781966948690353547)"
12353;2013;"Merbitzer Straße ";"ÖW 3-Mobschatz ";"Kirchenweg";20.8;20.2;2015-11-16 11:17:24;16608;277.7054;"14101110";16608;"SRID=4326;LINESTRING(13.65232926182891759481 51.06778851900966742505,13.65212129480693903361 51.06780696552841902758,13.65065086839788932593 51.06800632344011603436,13.64961813132893553302 51.06814450130734428512,13.6491045982425056593 51.06822014800746245555,13.64876364016169496551 51.06828283250689537454,13.64847736366639274763 51.06835870424929169076)"
1535;2013;"Schäferstraße ";"Löbtauer Str./Weißeritzstr. ";"Adlergasse";36.3;27.4;2015-11-16 11:17:24;11904;48.90151;"14014010";11904;"SRID=4326;LINESTRING(13.72017920275382074635 51.05472618745670132512,13.72010450337701392698 51.05475215920689180393,13.71987376314340245642 51.05483238453216898733,13.71956833616199666892 51.05493858994388034489)"
1532;2013;"Schäferstraße ";"Manitiusstr. ";"Menageriestr.";30.4;25.6;2015-11-16 11:17:24;11913;67.12154;"14014050";11913;"SRID=4326;LINESTRING(13.71472377999164748985 51.05653159751435765656,13.7142865341847954852 51.05667556459768263721,13.71387893081348963165 51.05681570064865582026)"
19073;2013;"Berliner Straße ";"Behringstr. ";"Menageriestr.";29.1;25.6;2015-11-16 11:17:24;11919;244.95604;"14015020";11919;"SRID=4326;LINESTRING(13.71635108264955071888 51.05505205727624229439,13.7157551930518533112 51.05524219412676956154,13.71516508833512482113 51.05544843485884598522,13.7145027945311142048 51.05565971498977972942,13.71384849168996922231 51.05588209560999501946,13.71325630850486376744 51.05607468863855302743)"
1867;2013;"Hohendölzschener Straße ";"Talblick ";"Am Kirschberg";22.4;22.4;2015-11-16 11:17:24;11511;164.73994;"13052050";11511;"SRID=4326;LINESTRING(13.69102503140184268204 51.02606650532646170859,13.69063613345027974333 51.02596758523925046802,13.69032236848069317148 51.02588697214002166902,13.68992848920280280822 51.02577997573350643279,13.68961480899669780342 51.02569907389766967754,13.68937324422486589981 51.02563557844947439435,13.68889158613112932983 51.02550517534297824795,13.68886312264010740591 51.02549024959434120774)"
2200;2013;"Lugaer Straße ";"Bebauungsgrenze/HN 58 ";"Bebauungsgrenze/HN74";17.1;20.2;2015-11-16 11:17:24;16756;325.80622;"10207062";16756;"SRID=4326;LINESTRING(13.82718214106274956521 50.99181618707687846381,13.82751241729465796482 50.99140938122184252279,13.82802325589022274244 50.99072803418125232611,13.82869528603689346369 50.98986456724224325399,13.82921237301197159297 50.98923986994781643034,13.8292453568003708142 50.98919405793408543559,13.82924638990965959806 50.98919263841643356727)"
1280;2013;"Reisewitzer Straße ";"Schillingstr. ";"Anton-Weck-Str.";31;26.1;2015-11-16 11:17:24;11400;170.96008;"13016030";11400;"SRID=4326;LINESTRING(13.70111270698930816536 51.04240860333291607276,13.70123629827716271734 51.0416439693476391426,13.70135988526715919988 51.04087933510397334658)"
2392;2013;"Reisewitzer Straße ";"Frankenbergstr. ";"Mohorner Str.";29;25.4;2015-11-16 11:17:24;11403;181.47868;"13016060";11403;"SRID=4326;LINESTRING(13.7019794743488230182 51.03657201896402284547,13.70206409513991374638 51.03576485110490068564,13.70213031426344407748 51.03494306933566804219)"
2391;2013;"Reisewitzer Straße ";"Mohorner Str. ";"Tharandter Str.";30.1;25.8;2015-11-16 11:17:24;11404;234.91346;"13016070";11404;"SRID=4326;LINESTRING(13.70213031996673791468 51.03494306939902003251,13.70212237072628980172 51.03474466009387811027,13.70207421801403491202 51.03387384367800194696,13.70204265311001634586 51.0332409304622345303,13.70203963439662153689 51.03300695486861116024,13.70214302954966889558 51.03288868622934160157,13.70219295853947727437 51.03286375482549885874)"
704;2013;"BAB A4";"Beginn Autobahndreieck ";"Autobahnzufahrt A13";35.6;23.2;2015-11-16 11:17:24;19051;845.65906;"26100120";19051;"SRID=4326;LINESTRING(13.74799909770966799272 51.1261203232453453893,13.7486197763029487362 51.12882269877377439116,13.74897067196567768121 51.13035033827532060968,13.74960828356472930523 51.13231660617008600411,13.74964173467051509192 51.13237669368263027536,13.74997741472481038727 51.13297944222583168994,13.75030358726338697295 51.13356513678368031606)"
