"objectid";"code";"typ";"katnam";"desk1";"desk3";"deskn1";"aend";"shape"
233434;"1";"LFT";0;"PM10";"2013";21.03;2016-01-29 10:10:40;"SRID=4326;POLYGON((13.65263067749438263832 51.04544103507753760596,13.6668839836459206083 51.04523852861883170817,13.66720679358588341756 51.05422361291678612361,13.65295060030555518438 51.05442613609663737861,13.65263067749438263832 51.04544103507753760596))"
233435;"1";"LFT";0;"PM10";"2013";21.7;2016-01-29 10:10:40;"SRID=4326;POLYGON((13.6668839836459206083 51.04523852861883170817,13.68113708251039106756 51.04503431735993501661,13.68146276725242849182 51.05401931227065404073,13.66720679358588341756 51.05422361291678612361,13.6668839836459206083 51.04523852861883170817))"
233436;"1";"LFT";0;"PM10";"2013";24.2;2016-01-29 10:10:40;"SRID=4326;POLYGON((13.68113708251039106756 51.04503431735993501661,13.69539013235706192972 51.04482830423332728742,13.69571839223715592482 51.05381320583152415793,13.68146276725242849182 51.05401931227065404073,13.68113708251039106756 51.04503431735993501661))"
233437;"1";"LFT";0;"PM10";"2013";26.62;2016-01-29 10:10:40;"SRID=4326;POLYGON((13.69539013235706192972 51.04482830423332728742,13.70964287476070708749 51.04462049540824608584,13.70997396710899529637 51.05360527904881706718,13.69571839223715592482 51.05381320583152415793,13.69539013235706192972 51.04482830423332728742))"
233438;"1";"LFT";0;"PM10";"2013";25.28;2016-01-29 10:10:40;"SRID=4326;POLYGON((13.70964287476070708749 51.04462049540824608584,13.72389562126267570363 51.04441092138946345358,13.7242295459513741207 51.05339558650020848063,13.70997396710899529637 51.05360527904881706718,13.70964287476070708749 51.04462049540824608584))"
233439;"1";"LFT";0;"PM10";"2013";23.62;2016-01-29 10:10:40;"SRID=4326;POLYGON((13.72389562126267570363 51.04441092138946345358,13.73814848353665496461 51.04419961936408611791,13.73848514109932494875 51.05318414631431522821,13.7242295459513741207 51.05339558650020848063,13.72389562126267570363 51.04441092138946345358))"
233487;"1";"LFT";0;"PM10";"2013";19.94;2016-01-29 10:10:40;"SRID=4326;POLYGON((13.61049323438262348418 51.06400866491645729184,13.62475247445953208114 51.06381121984529869451,13.62506738378459303362 51.07279633263539864174,13.61080535196202667692 51.07299383892908650751,13.61049323438262348418 51.06400866491645729184))"
233486;"1";"LFT";0;"PM10";"2013";18.83;2016-01-29 10:10:40;"SRID=4326;POLYGON((13.59623386584254056686 51.06420433278241688413,13.61049323438262348418 51.06400866491645729184,13.61080535196202667692 51.07299383892908650751,13.59654313257926538938 51.07318962969841891208,13.59623386584254056686 51.06420433278241688413))"
233483;"1";"LFT";0;"PM10";"2013";17.88;2016-01-29 10:10:40;"SRID=4326;POLYGON((13.95229213484575225834 51.04980605087520473262,13.96654436616029926199 51.04956701610781522049,13.9669251757422987481 51.05855046092477067532,13.95267014264876692664 51.05878958809240941719,13.95229213484575225834 51.04980605087520473262))"
233484;"1";"LFT";0;"PM10";"2013";18.47;2016-01-29 10:10:40;"SRID=4326;POLYGON((13.56771431230119695499 51.06459061914916475189,13.58197419524541338376 51.06439834717811265818,13.58228074349768199625 51.07338363313442641811,13.56801811122379675112 51.07357596516943232245,13.56771431230119695499 51.06459061914916475189))"
233485;"1";"LFT";0;"PM10";"2013";18.69;2016-01-29 10:10:40;"SRID=4326;POLYGON((13.58197419524541338376 51.06439834717811265818,13.59623386584254056686 51.06420433278241688413,13.59654313257926538938 51.07318962969841891208,13.58228074349768199625 51.07338363313442641811,13.58197419524541338376 51.06439834717811265818))"
233488;"1";"LFT";0;"PM10";"2013";20.21;2016-01-29 10:10:40;"SRID=4326;POLYGON((13.62475247445953208114 51.06381121984529869451,13.63901165437393281366 51.06361205238212619406,13.63932928346702766476 51.07259712053706834922,13.62506738378459303362 51.07279633263539864174,13.62475247445953208114 51.06381121984529869451))"
